room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
11908297,1219,2544644,Shared room,,Berlin,,Friedrichshain-Kreuzberg,0,0.0,1,1.0,,21.0,,CRASH MY COUCH @ BERLIN LIVIN COMM,2017-05-12 16:31:37.702630,52.512087,13.453523,0101000020E6100000B6F7A92A34E82A4077DA1A118C414A40
12403733,1219,5093585,Shared room,,Berlin,,Neukölln,2,0.0,1,1.0,,34.0,,Sunny Studio w/ Balcony - Neukölln,2017-05-12 16:31:37.699787,52.490668,13.433637,0101000020E6100000CDAB3AAB05DE2A40CC988235CE3E4A40
11382882,1219,15684749,Shared room,,Berlin,,Steglitz-Zehlendorf,0,0.0,2,1.0,,28.0,,22 sqmt Room available in a 2-room,2017-05-12 16:31:37.697402,52.430396,13.214135,0101000020E6100000A1DB4B1AA36D2A40242A543717374A40
5377965,1219,27344566,Shared room,,Berlin,,Pankow,0,0.0,1,1.0,,34.0,,Nice Apartment next to Volkspark ,2017-05-12 16:31:37.693950,52.527823,13.421796,0101000020E6100000D02A33A5F5D72A40CE893DB48F434A40
6858383,1219,8250486,Shared room,,Berlin,,Mitte,38,4.5,8,1.0,,25.0,,"8-bed dorm mixed Ensuite ,Kitchen 2",2017-05-12 16:31:37.690877,52.515474,13.424611,0101000020E6100000310BED9C66D92A401AF8510DFB414A40
14172211,1219,85797043,Shared room,,Berlin,,Tempelhof-Schöneberg,2,0.0,4,1.0,,35.0,,Big City Hostel,2017-05-12 16:31:37.687211,52.467787,13.386244,0101000020E61000006D8D08C6C1C52A403A3FC571E03B4A40
6097880,1219,8250486,Shared room,,Berlin,,Mitte,23,4.5,8,1.0,,22.0,,"8-Bedroom mixed, Ensuite , TV No. 3",2017-05-12 16:31:35.779038,52.517193,13.424151,0101000020E6100000A321E3512AD92A402D5C566133424A40
6111076,1219,8250486,Shared room,,Berlin,,Mitte,64,4.5,6,1.0,,24.0,,"6-Bed mixed dorm ,Shared Bathroom 1",2017-05-12 16:31:35.776698,52.516895,13.425032,0101000020E6100000C78157CB9DD92A40A33B889D29424A40
6098179,1219,8250486,Shared room,,Berlin,,Mitte,35,4.5,6,1.0,,26.0,,"6-Bedroom mixed, Ensuite , TV No. 3",2017-05-12 16:31:35.774739,52.516152,13.424674,0101000020E61000004AECDADE6ED92A40EBE1CB4411424A40
15153401,1219,8250486,Shared room,,Berlin,,Mitte,8,4.5,6,1.0,,22.0,,6-Bettzimmer mit DU/WC / TV Nr. 10,2017-05-12 16:31:34.292196,52.516916,13.426024,0101000020E6100000499F56D11FDA2A40BB63B14D2A424A40
15135834,1219,8250486,Shared room,,Berlin,,Mitte,26,4.5,6,1.0,,22.0,,"6-Bed mixed dorm ,Shared Bathroom 11",2017-05-12 16:31:34.289984,52.517533,13.424341,0101000020E610000031B43A3943D92A40E6CC76853E424A40
6098098,1219,8250486,Shared room,,Berlin,,Mitte,21,4.5,6,1.0,,25.0,,"6-Bedroom mixed, Ensuite , TV No. 2",2017-05-12 16:31:34.287447,52.516125,13.424654,0101000020E61000002E3BC43F6CD92A40F2D24D6210424A40
6663931,1219,8250486,Shared room,,Berlin,,Mitte,39,4.5,8,1.0,,25.0,,"8-Bedroom mixed, Ensuite , TV No. 1",2017-05-12 16:31:34.284244,52.517038,13.424203,0101000020E6100000EDBAB72231D92A4006651A4D2E424A40
15120448,1219,8250486,Shared room,,Berlin,,Mitte,10,4.5,4,1.0,,25.0,,"4-Bedroom mixed, Ensuite , TV No. 10",2017-05-12 16:31:34.281412,52.517374,13.424478,0101000020E610000034BE2F2E55D92A407DE6AC4F39424A40
16462717,1219,8250486,Shared room,,Berlin,,Mitte,4,4.5,6,1.0,,22.0,,"6-Bed mixed dorm ,Shared Bathroom 12",2017-05-12 16:31:34.275634,52.517862,13.424798,0101000020E6100000FACF9A1F7FD92A40ABEB504D49424A40
